Name,URL,Category,Description,Comment/Reason,Language,Target OS,Author,last_commit,Commits,Branch,Packages,Releases,Watch,Star,Fork,Tags,Has Readme,Readme,Repo Name
A collection of useful scripts for Cobalt Strike,https://github.com/001SPARTaN/aggressor_scripts.git,,,,[],,001SPARTaN,"July 20, 2018",,1,0,0,13,93,16,"cobalt-strike, aggressor-scripts, pentesting, red-team",Yes,,aggressor_scripts
,https://github.com/00theway/Ghostcat-CNVD-2020-10487,,,,,,,,,,,,,,,,,,
,https://github.com/0Kee-Team/WatchAD,,,,,,,,,,,,,,,,,,
,https://github.com/0x00-0x00/shellpop,,,,,,,,,,,,,,,,,,
Pop shells like a master.,https://github.com/0x00-0x00/ShellPop.git,,,,"[""Python"",""Ruby""]",,0x00-0x00,"April 2, 2019",,1,0,4,48,1.1k,185,"shell, reverse, pop-shells, hacking, pentest, bind, remote",Yes,,ShellPop
Extracting Clear Text Passwords from mstsc.exe using API Hooking.,https://github.com/0x09AL/RdpThief.git,,,,"[""C++"",""C""]",,0x09AL,"November 13, 2019",,1,0,0,11,463,85,"redteaming, cpp, pentesting-windows, api-hooking",Yes,,RdpThief
Explore the network using VPNPivot tool,https://github.com/0x36/VPNPivot.git,,,,"[""Makefile"",""C"",""M4"",""Shell""]",,0x36,"July 21, 2016",,1,0,0,18,159,41,,Yes,,VPNPivot
,https://github.com/0x90/wifi-arsenal,,,,,,,,,,,,,,,,,,
viewgen is a ViewState tool capable of generating both signed and encrypted payloads with leaked validation keys,https://github.com/0xacb/viewgen.git,,,,"[""Python"",""Shell""]",,0xacb,"May 6, 2019",,1,0,0,8,305,36,,Yes,,viewgen
A tool to elevate privilege with Windows Tokens,https://github.com/0xbadjuju/Tokenvator.git,,,,"[""C#""]",,0xbadjuju,"March 19, 2019",,5,0,9,35,622,143,,Yes,,Tokenvator
0xbharath/domains-from-csp,https://github.com/0xbharath/domains-from-csp,,A Python script to parse domain names from CSP header,Could use to generate domains for BugBounty tool,,,,,,,,,,,,,,,
.NET deobfuscator and unpacker.,https://github.com/0xd4d/de4dot.git,,,,"[""C#""]",,0xd4d,"December 26, 2019",,1,0,0,437,3.9k,1.2k,,Yes,,de4dot
.NET debugger and assembly editor,https://github.com/0xd4d/dnSpy.git,,,,"[""C#"",""Other""]",,0xd4d,"February 21, 2020",,1,0,0,743,13.3k,2.1k,"assembly-editor, debugger, decompiler",Yes,,dnSpy
"Collection of scripts and templates to generate Office documents embedded with the DDE, macro-less command execution technique.",https://github.com/0xdeadbeefJERKY/Office-DDE-Payloads.git,,,,"[""Python""]",,0xdeadbeefJERKY,,,1,0,0,35,475,126,,Yes,,Office-DDE-Payloads
"You're a #pentester and you totally pwn that linux box, congrats! Now what? You can launch gimmecredz.sh which will try to extract all passwords from known locations.",https://github.com/0xmitsurugi/gimmecredz.git,,,,"[""Shell""]",,0xmitsurugi,"January 25, 2020",,1,0,0,6,152,22,,Yes,,gimmecredz
A ruby script that scans for vulnerable & exploitable 3rd-party web applications on a network,https://github.com/0xsauby/yasuo.git,,,,"[""Ruby""]",,0xsauby,,,2,0,0,54,482,132,"pentesting, pentest-tool, pentesting-networks, hacking-tool, network-security, pentest-scripts, ruby, security-tools, security-automation, security-scanner",Yes,,yasuo
,https://github.com/0xthirteen/MoveKit,,,,,,,,,,,,,,,,,,
,https://github.com/0xthirteen/SharpMove,,,,,,,,,,,,,,,,,,
,https://github.com/0xthirteen/SharpRDP,,,,,,,,,,,,,,,,,,
,https://github.com/1337g/CVE-2017-10271,,,,,,,,,,,,,,,,,,
Automatically brute force all services running on a target.,https://github.com/1N3/BruteX.git,,,,"[""Shell"",""Dockerfile""]",,1N3,"February 20, 2020",,1,0,4,59,731,303,"brute-force, bruteforce, bruteforcing, bruteforce-attacks, brute, hacking, bugbounty",Yes,,BruteX
Find exploits in local and online databases instantly,https://github.com/1N3/Findsploit.git,,,,"[""Shell""]",,1N3,"February 11, 2020",,1,0,7,70,980,248,"exploits, metasploit, nmap, pentest, hackers, exploitdb, find, search, bugbounty",Yes,,Findsploit
"A collection of Burpsuite Intruder payloads, BurpBounty payloads, fuzz lists, malicious file uploads and web pentesting methodologies and checklists.",https://github.com/1N3/IntruderPayloads.git,,,,"[""BitBake"",""PHP"",""Shell"",""HTML""]",,1N3,"November 2, 2018",,1,0,0,153,2.1k,803,"burpsuite, intruder, payloads, fuzz-lists, fuzzing, fuzz, injection, burpsuite-engagement, burpsuite-intruder, attack, sql-injection, bugbounty",Yes,,IntruderPayloads
Automated pentest framework for offensive security experts,https://github.com/1N3/Sn1per.git,,,,"[""Shell"",""PHP"",""Python"",""XSLT"",""JavaScript"",""HTML"",""Dockerfile""]",,1N3,"February 21, 2020",,1,0,43,247,3.3k,1k,"pentest, pentesting, hacking, scanner, automated, kali-linux, recon, sn1per, dns, metasploit, vulnerabilities, scans, sn1per-professional, nuke, shellshock, subnet, vulnerability, osint, xerosecurity, bugbounty",Yes,,Sn1per
,https://github.com/360-A-Team/CobaltStrike-Toolset,,,,,,,,,,,,,,,,,,
,https://github.com/360-Linton-Lab/WMIHACKER,,,,,,,,,,,,,,,,,,
,https://github.com/3gstudent/easBrowseSharefile,,,,,,,,,,,,,,,,,,
,https://github.com/3gstudent/Pentest-and-Development-Tips,,,,,,,,,,,,,,,,,,
,https://github.com/3gstudent/Windows-EventLog-Bypass,,,,,,,,,,,,,,,,,,
,https://github.com/3gstudent/Worse-PDF,,,,,,,,,,,,,,,,,,
